question,question_type,ground_truth,key_points,reference_context,reference_doc,reference_doc_ids,reference_chunk_ids,generate_reason,is_deleted
,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,doc_001,"chunk_001, chunk_002",答案依据来自模型配置手册相关片段。,FALSE
2如何配置模型供应商？,,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,doc_002,"chunk_001, chunk_003",答案依据来自模型配置手册相关片段。,FALSE
3如何配置模型供应商？,操作问答,,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,doc_003,"chunk_001, chunk_004",答案依据来自模型配置手册相关片段。,FALSE
4如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,,模型供应商配置说明...,模型配置手册,doc_004,"chunk_001, chunk_005",答案依据来自模型配置手册相关片段。,FALSE
5如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,,模型配置手册,doc_005,"chunk_001, chunk_006",答案依据来自模型配置手册相关片段。,FALSE
6如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,,doc_006,"chunk_001, chunk_007",答案依据来自模型配置手册相关片段。,FALSE
7如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,,"chunk_001, chunk_008",答案依据来自模型配置手册相关片段。,FALSE
8如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,doc_008,,答案依据来自模型配置手册相关片段。,FALSE
9如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,doc_009,"chunk_001, chunk_010",,FALSE
10如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,doc_010,"chunk_001, chunk_011",答案依据来自模型配置手册相关片段。,
11如何配置模型供应商？,操作问答,进入模型供应商页面，新增 API Key，并选择默认模型。,进入模型供应商页面；新增 API Key；选择默认模型,模型供应商配置说明...,模型配置手册,doc_011,"chunk_001, chunk_012",答案依据来自模型配置手册相关片段。,FALSE